agent,site_name,DC,DF,EC,EF
Agent-E,health,25.0,9.3,50.9,14.8
Agent-E,news,11.1,22.2,22.2,44.4
Agent-E,shop,1.4,0.0,0.0,98.6
Agent-E,spotify,0.0,0.0,48.1,51.9
BrowserUse,health,53.7,14.8,16.7,14.8
BrowserUse,news,0.0,27.8,0.0,72.2
BrowserUse,shop,75.0,23.6,0.0,1.4
BrowserUse,spotify,16.7,13.0,31.5,38.9
DoBrowser,health,9.3,39.8,3.7,47.2
DoBrowser,news,0.0,25.0,0.0,75.0
DoBrowser,shop,23.6,15.3,9.7,51.4
DoBrowser,spotify,0.0,0.0,40.7,59.3
Skyvern,health,44.4,22.2,24.1,9.3
Skyvern,news,27.8,36.1,0.0,36.1
Skyvern,shop,68.1,31.9,0.0,0.0
Skyvern,spotify,14.8,13.0,44.4,27.8
VisualWebArena,health,26.9,32.4,15.7,25.0
VisualWebArena,news,0.0,25.0,0.0,75.0
VisualWebArena,shop,0.0,19.4,2.8,77.8
VisualWebArena,spotify,0.0,0.0,7.4,92.6
WebArena,health,15.7,39.8,8.3,36.1
WebArena,news,5.6,30.6,5.6,58.3
WebArena,shop,5.1,27.2,6.6,61.0
WebArena,spotify,5.6,5.6,42.6,46.3
