agent,dp,DC,DF,EC,EF
Agent-E,am,0.0,0.0,50.0,50.0
Agent-E,bs,5.6,11.1,27.8,55.6
Agent-E,cf,6.7,13.3,64.4,15.6
Agent-E,cs,75.0,25.0,0.0,0.0
Agent-E,ds,0.0,0.0,44.4,55.6
Agent-E,du,0.0,0.0,50.0,50.0
Agent-E,ob,0.0,0.0,33.3,66.7
Agent-E,p1,1.4,0.0,0.0,98.6
Agent-E,p2,1.9,0.0,0.0,98.1
Agent-E,tos,0.0,2.8,72.2,25.0
Agent-E,w,0.0,0.0,0.0,100.0
BrowserUse,am,0.0,0.0,44.4,55.6
BrowserUse,bs,0.0,0.0,0.0,100.0
BrowserUse,cf,11.1,20.0,40.0,28.9
BrowserUse,cs,69.4,30.6,0.0,0.0
BrowserUse,ds,0.0,0.0,44.4,55.6
BrowserUse,du,50.0,38.9,5.6,5.6
BrowserUse,ob,0.0,11.1,0.0,88.9
BrowserUse,p1,75.0,25.0,0.0,0.0
BrowserUse,p2,81.5,18.5,0.0,0.0
BrowserUse,tos,77.8,13.9,0.0,8.3
BrowserUse,w,55.6,33.3,0.0,11.1
DoBrowser,am,0.0,0.0,44.4,55.6
DoBrowser,bs,0.0,0.0,0.0,100.0
DoBrowser,cf,0.0,20.0,8.9,71.1
DoBrowser,cs,8.3,91.7,0.0,0.0
DoBrowser,ds,0.0,0.0,38.9,61.1
DoBrowser,du,0.0,0.0,38.9,61.1
DoBrowser,ob,0.0,0.0,0.0,100.0
DoBrowser,p1,18.1,20.8,15.3,45.8
DoBrowser,p2,24.1,11.1,5.6,59.3
DoBrowser,tos,19.4,27.8,0.0,52.8
DoBrowser,w,44.4,5.6,0.0,50.0
Skyvern,am,0.0,0.0,55.6,44.4
Skyvern,bs,27.8,0.0,0.0,72.2
Skyvern,cf,4.4,15.6,57.8,22.2
Skyvern,cs,66.7,33.3,0.0,0.0
Skyvern,ds,0.0,0.0,66.7,33.3
Skyvern,du,44.4,38.9,11.1,5.6
Skyvern,ob,33.3,66.7,0.0,0.0
Skyvern,p1,68.1,31.9,0.0,0.0
Skyvern,p2,64.8,35.2,0.0,0.0
Skyvern,tos,66.7,33.3,0.0,0.0
Skyvern,w,77.8,22.2,0.0,0.0
VisualWebArena,am,0.0,0.0,11.1,88.9
VisualWebArena,bs,0.0,0.0,0.0,100.0
VisualWebArena,cf,0.0,20.0,37.8,42.2
VisualWebArena,cs,41.7,58.3,0.0,0.0
VisualWebArena,ds,0.0,0.0,5.6,94.4
VisualWebArena,du,0.0,0.0,5.6,94.4
VisualWebArena,ob,0.0,0.0,0.0,100.0
VisualWebArena,p1,0.0,27.8,2.8,69.4
VisualWebArena,p2,0.0,14.8,3.7,81.5
VisualWebArena,tos,38.9,38.9,0.0,22.2
VisualWebArena,w,0.0,0.0,0.0,100.0
WebArena,am,0.0,0.0,50.0,50.0
WebArena,bs,0.0,0.0,11.1,88.9
WebArena,cf,2.2,17.8,20.0,60.0
WebArena,cs,25.0,75.0,0.0,0.0
WebArena,ds,0.0,0.0,50.0,50.0
WebArena,du,16.7,16.7,27.8,38.9
WebArena,ob,11.1,33.3,0.0,55.6
WebArena,p1,0.0,2.9,11.8,85.3
WebArena,p2,9.6,65.4,1.9,23.1
WebArena,tos,22.2,44.4,0.0,33.3
WebArena,w,12.5,6.2,0.0,81.2
