,agent,site_name,DC,EC,DF,EF
0,Agent-E,health,-2.8000000000000007,2.799999999999997,3.700000000000001,-3.6999999999999993
1,Agent-E,news,-11.1,-11.099999999999998,11.1,11.100000000000001
2,Agent-E,shop,0.5999999999999999,-2.4,-1.6,3.3999999999999915
3,Agent-E,spotify,0.0,9.200000000000003,0.0,-9.200000000000003
4,BrowserUse,health,3.700000000000003,-5.5,-3.6999999999999993,5.5
5,BrowserUse,news,0.0,-14.8,-5.4999999999999964,20.300000000000004
6,BrowserUse,shop,5.200000000000003,0.0,-5.0,-0.20000000000000018
7,BrowserUse,spotify,-22.2,31.5,-3.6999999999999993,-5.5
8,DoBrowser,health,-23.999999999999996,1.8000000000000003,13.899999999999999,8.300000000000004
9,DoBrowser,news,0.0,0.0,-8.299999999999997,8.299999999999997
10,DoBrowser,shop,-24.0,-1.4000000000000004,1.0,24.4
11,DoBrowser,spotify,0.0,7.400000000000006,0.0,-7.400000000000006
12,Skyvern,health,7.399999999999999,0.0,-7.400000000000002,0.0
13,Skyvern,news,-1.8000000000000007,0.0,-8.299999999999997,10.200000000000003
14,Skyvern,shop,7.799999999999997,0.0,-7.800000000000004,0.0
15,Skyvern,spotify,-1.8999999999999986,11.100000000000001,-20.299999999999997,11.100000000000001
16,VisualWebArena,health,1.0,-6.5,0.8999999999999986,4.600000000000001
17,VisualWebArena,news,0.0,-11.1,-8.299999999999997,19.4
18,VisualWebArena,shop,-0.8,1.9999999999999998,-13.899999999999999,12.700000000000003
19,VisualWebArena,spotify,0.0,-3.6999999999999993,0.0,3.6999999999999886
20,WebArena,health,4.6,-6.5,8.299999999999997,-6.5
21,WebArena,news,-12.9,-5.5,1.0,17.599999999999994
22,WebArena,shop,3.4999999999999996,-7.9,26.4,-22.099999999999994
23,WebArena,spotify,5.6,-13.0,5.6,1.8999999999999986
