,agent,dp,DC,EC,DF,EF
0,Agent-E,am,,,,
1,Agent-E,bs,5.6,-5.4999999999999964,11.1,-11.100000000000001
2,Agent-E,cf,-15.5,20.000000000000007,2.200000000000001,-6.6
3,Agent-E,cs,-8.299999999999997,0.0,8.3,0.0
4,Agent-E,ds,0.0,11.100000000000001,0.0,-11.100000000000001
5,Agent-E,du,0.0,5.600000000000001,0.0,-5.600000000000001
6,Agent-E,ob,0.0,-33.400000000000006,0.0,33.400000000000006
7,Agent-E,p1,1.4,-5.6,0.0,4.199999999999989
8,Agent-E,p2,0.0,0.0,-1.9,1.7999999999999972
9,Agent-E,tos,0.0,-5.599999999999994,2.8,2.8000000000000007
10,Agent-E,w,0.0,0.0,-5.6,5.599999999999994
11,BrowserUse,am,,,,
12,BrowserUse,bs,0.0,-11.1,0.0,11.099999999999994
13,BrowserUse,cf,7.3999999999999995,-4.399999999999999,-13.299999999999997,10.399999999999999
14,BrowserUse,cs,-2.799999999999997,0.0,2.8000000000000007,0.0
15,BrowserUse,ds,-11.1,44.4,0.0,-33.300000000000004
16,BrowserUse,du,-16.700000000000003,5.6,5.600000000000001,5.6
17,BrowserUse,ob,0.0,-33.3,11.1,22.200000000000003
18,BrowserUse,p1,8.299999999999997,0.0,-8.299999999999997,0.0
19,BrowserUse,p2,7.400000000000006,0.0,-7.399999999999999,0.0
20,BrowserUse,tos,5.599999999999994,0.0,-13.9,8.3
21,BrowserUse,w,-11.100000000000001,0.0,11.099999999999998,0.0
22,DoBrowser,am,,,,
23,DoBrowser,bs,0.0,0.0,0.0,0.0
24,DoBrowser,cf,0.0,5.2,-13.299999999999997,8.099999999999994
25,DoBrowser,cs,-41.7,0.0,41.7,0.0
26,DoBrowser,ds,0.0,16.7,0.0,-16.699999999999996
27,DoBrowser,du,0.0,-5.5,0.0,5.5
28,DoBrowser,ob,0.0,0.0,0.0,0.0
29,DoBrowser,p1,-2.299999999999997,-10.599999999999998,13.4,-0.5
30,DoBrowser,p2,-44.4,5.6,-13.000000000000002,51.9
31,DoBrowser,tos,-30.6,0.0,0.0,30.599999999999998
32,DoBrowser,w,-22.300000000000004,0.0,0.0,22.2
33,Skyvern,am,,,,
34,Skyvern,bs,5.600000000000001,0.0,0.0,-5.599999999999994
35,Skyvern,cf,-6.699999999999999,9.699999999999996,-6.6,3.6999999999999993
36,Skyvern,cs,22.300000000000004,0.0,-22.300000000000004,0.0
37,Skyvern,ds,0.0,0.0,0.0,0.0
38,Skyvern,du,11.100000000000001,11.1,-27.800000000000004,5.6
39,Skyvern,ob,0.0,0.0,0.0,0.0
40,Skyvern,p1,14.399999999999991,0.0,-14.399999999999999,0.0
41,Skyvern,p2,3.6999999999999957,0.0,-3.6999999999999957,0.0
42,Skyvern,tos,0.0,0.0,0.0,0.0
43,Skyvern,w,0.0,0.0,0.0,0.0
44,VisualWebArena,am,,,,
45,VisualWebArena,bs,0.0,-33.3,0.0,33.3
46,VisualWebArena,cf,0.0,4.5,-13.299999999999997,8.900000000000006
47,VisualWebArena,cs,-2.6999999999999957,0.0,2.6999999999999957,0.0
48,VisualWebArena,ds,0.0,-5.5,0.0,5.5
49,VisualWebArena,du,0.0,-5.5,0.0,5.5
50,VisualWebArena,ob,0.0,0.0,0.0,0.0
51,VisualWebArena,p1,0.0,2.8,9.3,-12.099999999999994
52,VisualWebArena,p2,-1.9,1.8000000000000003,-44.5,44.5
53,VisualWebArena,tos,5.600000000000001,-16.7,0.0,11.1
54,VisualWebArena,w,0.0,0.0,0.0,0.0
55,WebArena,am,,,,
56,WebArena,bs,0.0,-22.199999999999996,0.0,22.200000000000003
57,WebArena,cf,-1.5,-5.899999999999999,-11.8,19.299999999999997
58,WebArena,cs,8.3,0.0,-8.299999999999997,0.0
59,WebArena,ds,0.0,-5.600000000000001,0.0,5.600000000000001
60,WebArena,du,16.7,-27.8,16.7,-5.5
61,WebArena,ob,-33.3,0.0,33.3,0.0
62,WebArena,p1,0.0,-5.5,2.9,2.5999999999999943
63,WebArena,p2,9.6,-14.799999999999999,65.4,-60.199999999999996
64,WebArena,tos,5.5,-5.6,33.3,-33.400000000000006
65,WebArena,w,1.4000000000000004,0.0,0.6000000000000005,-2.0999999999999943
