,agent,dp,DC,DF,EC,EF
0,Agent-E,bs,0.0,0.0,33.3,66.7
1,Agent-E,cf,33.3,66.7,0.0,0.0
2,Agent-E,ob,0.0,0.0,33.3,66.7
3,Agent-E,p1,0.0,6.7,0.0,93.3
4,Agent-E,p2,0.0,6.7,0.0,93.3
5,Agent-E,s,0.0,0.0,0.0,100.0
6,Agent-E,sa,0.0,0.0,33.3,66.7
7,Agent-E,w,0.0,0.0,0.0,100.0
8,BrowserUse,bs,0.0,0.0,0.0,100.0
9,BrowserUse,cf,0.0,100.0,0.0,0.0
10,BrowserUse,ob,0.0,0.0,0.0,100.0
11,BrowserUse,p1,53.3,46.7,0.0,0.0
12,BrowserUse,p2,53.3,46.7,0.0,0.0
13,BrowserUse,s,0.0,0.0,53.3,46.7
14,BrowserUse,sa,0.0,11.1,0.0,88.9
15,BrowserUse,w,53.3,40.0,0.0,6.7
16,DoBrowser,bs,0.0,0.0,0.0,100.0
17,DoBrowser,cf,0.0,100.0,0.0,0.0
18,DoBrowser,ob,0.0,0.0,0.0,100.0
19,DoBrowser,p1,13.3,40.0,6.7,40.0
20,DoBrowser,p2,13.3,0.0,6.7,80.0
21,DoBrowser,s,0.0,0.0,20.0,80.0
22,DoBrowser,sa,0.0,0.0,0.0,100.0
23,DoBrowser,w,20.0,0.0,0.0,80.0
24,Skyvern,bs,0.0,0.0,0.0,100.0
25,Skyvern,cf,0.0,100.0,0.0,0.0
26,Skyvern,ob,0.0,100.0,0.0,0.0
27,Skyvern,p1,73.3,26.7,0.0,0.0
28,Skyvern,p2,73.3,26.7,0.0,0.0
29,Skyvern,s,0.0,0.0,73.3,26.7
30,Skyvern,sa,0.0,0.0,0.0,100.0
31,Skyvern,w,73.3,20.0,0.0,6.7
32,VisualWebArena,bs,0.0,0.0,0.0,100.0
33,VisualWebArena,cf,0.0,100.0,0.0,0.0
34,VisualWebArena,ob,0.0,0.0,0.0,100.0
35,VisualWebArena,p1,0.0,40.0,0.0,60.0
36,VisualWebArena,p2,0.0,40.0,0.0,60.0
37,VisualWebArena,s,0.0,0.0,0.0,100.0
38,VisualWebArena,sa,0.0,0.0,0.0,100.0
39,VisualWebArena,w,0.0,0.0,0.0,100.0
40,WebArena,bs,0.0,0.0,0.0,100.0
41,WebArena,cf,0.0,100.0,0.0,0.0
42,WebArena,ob,0.0,0.0,0.0,100.0
43,WebArena,p1,0.0,6.7,6.7,86.7
44,WebArena,p2,6.7,80.0,0.0,13.3
45,WebArena,s,0.0,0.0,6.7,93.3
46,WebArena,sa,0.0,0.0,0.0,100.0
47,WebArena,w,6.7,0.0,0.0,93.3
