,agent,site_name,DC,EC,DF,EF
0,Agent-E,news,-8.399999999999999,-16.700000000000003,8.399999999999999,16.700000000000003
1,Agent-E,shop,0.0,0.0,1.5999999999999999,-1.5999999999999943
2,BrowserUse,news,0.0,-19.4,2.8000000000000007,16.6
3,BrowserUse,shop,-3.299999999999997,-1.6999999999999993,4.9999999999999964,0.0
4,DoBrowser,news,0.0,-8.3,0.0,8.299999999999997
5,DoBrowser,shop,-21.599999999999998,-11.7,-5.0,38.3
6,Skyvern,news,-22.2,-8.3,16.700000000000003,13.899999999999999
7,Skyvern,shop,1.7000000000000028,0.0,-3.3999999999999986,1.6000000000000005
8,VisualWebArena,news,0.0,-25.0,0.0,25.0
9,VisualWebArena,shop,0.0,0.0,-8.3,8.299999999999997
10,WebArena,news,-13.9,-19.4,2.8000000000000007,30.6
11,WebArena,shop,0.0,1.5999999999999999,20.0,-21.599999999999994
