,agent,dp,DC,EC,DF,EF
0,Agent-E,bs,0.0,0.0,0.0,0.0
1,Agent-E,cf,-33.400000000000006,0.0,33.400000000000006,0.0
2,Agent-E,ob,0.0,-33.400000000000006,0.0,33.400000000000006
3,Agent-E,p1,0.0,0.0,6.7,-6.700000000000003
4,Agent-E,p2,0.0,0.0,6.7,-6.700000000000003
5,Agent-E,s,0.0,0.0,0.0,0.0
6,Agent-E,sa,0.0,-33.400000000000006,0.0,33.400000000000006
7,Agent-E,w,0.0,0.0,-6.7,6.700000000000003
8,BrowserUse,bs,0.0,-11.1,0.0,11.099999999999994
9,BrowserUse,cf,0.0,0.0,0.0,0.0
10,BrowserUse,ob,0.0,-33.3,0.0,33.3
11,BrowserUse,p1,-6.700000000000003,0.0,6.700000000000003,0.0
12,BrowserUse,p2,0.0,0.0,0.0,0.0
13,BrowserUse,s,0.0,-6.700000000000003,0.0,6.700000000000003
14,BrowserUse,sa,0.0,-33.3,11.1,22.200000000000003
15,BrowserUse,w,-6.700000000000003,0.0,13.3,-6.6000000000000005
16,DoBrowser,bs,0.0,0.0,0.0,0.0
17,DoBrowser,cf,0.0,0.0,0.0,0.0
18,DoBrowser,ob,0.0,0.0,0.0,0.0
19,DoBrowser,p1,0.0,-13.3,13.3,0.0
20,DoBrowser,p2,-46.7,6.7,-26.7,66.7
21,DoBrowser,s,0.0,-40.0,0.0,40.0
22,DoBrowser,sa,0.0,-33.3,0.0,33.3
23,DoBrowser,w,-40.0,0.0,-6.7,46.7
24,Skyvern,bs,-22.2,0.0,0.0,22.200000000000003
25,Skyvern,cf,-33.3,0.0,33.3,0.0
26,Skyvern,ob,-33.3,0.0,33.3,0.0
27,Skyvern,p1,6.599999999999994,0.0,-6.599999999999998,0.0
28,Skyvern,p2,0.0,0.0,0.0,0.0
29,Skyvern,s,0.0,0.0,0.0,0.0
30,Skyvern,sa,0.0,-33.3,0.0,33.3
31,Skyvern,w,0.0,0.0,-6.699999999999999,6.7
32,VisualWebArena,bs,0.0,-33.3,0.0,33.3
33,VisualWebArena,cf,0.0,0.0,0.0,0.0
34,VisualWebArena,ob,0.0,0.0,0.0,0.0
35,VisualWebArena,p1,0.0,0.0,0.0,0.0
36,VisualWebArena,p2,0.0,0.0,-33.3,33.3
37,VisualWebArena,s,0.0,0.0,0.0,0.0
38,VisualWebArena,sa,0.0,-66.7,0.0,66.7
39,VisualWebArena,w,0.0,0.0,0.0,0.0
40,WebArena,bs,0.0,-33.3,0.0,33.3
41,WebArena,cf,-11.1,0.0,11.099999999999994,0.0
42,WebArena,ob,-44.4,0.0,0.0,44.4
43,WebArena,p1,0.0,0.0,6.7,-6.599999999999994
44,WebArena,p2,6.7,0.0,80.0,-86.7
45,WebArena,s,0.0,6.7,0.0,-6.700000000000003
46,WebArena,sa,0.0,-44.4,0.0,44.4
47,WebArena,w,-6.6000000000000005,0.0,-6.7,13.299999999999997
