,agent,site_name,DC,DF,EC,EF
0,Agent-E,health,27.8,5.6,48.1,18.5
1,Agent-E,news,16.7,8.3,41.7,33.3
2,Agent-E,shop,0.7,1.3,5.3,92.7
3,Agent-E,spotify,0.0,8.3,33.3,58.3
4,BrowserUse,health,50.0,18.5,22.2,9.3
5,BrowserUse,news,0.0,25.0,19.4,55.6
6,BrowserUse,shop,58.7,24.0,9.3,8.0
7,BrowserUse,spotify,29.2,25.0,12.5,33.3
8,DoBrowser,health,33.3,25.9,1.9,38.9
9,DoBrowser,news,0.0,25.0,8.3,66.7
10,DoBrowser,shop,40.0,12.0,20.0,28.0
11,DoBrowser,spotify,0.0,12.5,37.5,50.0
12,Skyvern,health,37.0,29.6,24.1,9.3
13,Skyvern,news,22.2,33.3,8.3,36.1
14,Skyvern,shop,50.7,33.3,9.3,6.7
15,Skyvern,spotify,12.5,25.0,50.0,12.5
16,VisualWebArena,health,25.9,31.5,22.2,20.4
17,VisualWebArena,news,0.0,25.0,25.0,50.0
18,VisualWebArena,shop,0.7,28.0,3.3,68.0
19,VisualWebArena,spotify,0.0,0.0,33.3,66.7
20,WebArena,health,11.1,31.5,14.8,42.6
21,WebArena,news,13.9,22.2,19.4,44.4
22,WebArena,shop,1.4,0.7,13.5,84.5
23,WebArena,spotify,0.0,0.0,50.0,50.0
