,agent,site_name,DC,DF,EC,EF
0,Agent-E,health,25.9,9.3,51.9,13.0
1,Agent-E,news,11.1,29.6,22.2,37.0
2,Agent-E,shop,0.0,3.7,0.0,96.3
3,Agent-E,spotify,0.0,0.0,22.2,77.8
4,BrowserUse,health,40.7,18.5,20.4,20.4
5,BrowserUse,news,7.4,25.9,14.8,51.9
6,BrowserUse,shop,61.1,37.0,0.0,1.9
7,BrowserUse,spotify,3.7,22.2,7.4,66.7
8,DoBrowser,health,11.1,29.6,5.6,53.7
9,DoBrowser,news,0.0,33.3,0.0,66.7
10,DoBrowser,shop,24.1,20.4,3.7,51.9
11,DoBrowser,spotify,0.0,0.0,44.4,55.6
12,Skyvern,health,38.9,29.6,16.7,14.8
13,Skyvern,news,7.4,29.6,3.7,59.3
14,Skyvern,shop,77.8,22.2,0.0,0.0
15,Skyvern,spotify,7.4,3.7,48.1,40.7
16,VisualWebArena,health,29.6,31.5,14.8,24.1
17,VisualWebArena,news,0.0,33.3,0.0,66.7
18,VisualWebArena,shop,0.0,11.1,0.0,88.9
19,VisualWebArena,spotify,0.0,0.0,0.0,100.0
20,WebArena,health,11.1,44.4,5.6,38.9
21,WebArena,news,3.7,29.6,7.4,59.3
22,WebArena,shop,7.4,29.6,3.7,59.3
23,WebArena,spotify,0.0,0.0,44.4,55.6
