,agent,dp,DC,DF,EC,EF
0,Agent-E,am,0.0,0.0,22.2,77.8
1,Agent-E,bs,0.0,22.2,33.3,44.4
2,Agent-E,cf,11.1,22.2,51.9,14.8
3,Agent-E,cs,77.8,22.2,0.0,0.0
4,Agent-E,ds,0.0,0.0,22.2,77.8
5,Agent-E,du,0.0,0.0,22.2,77.8
6,Agent-E,p1,0.0,5.6,0.0,94.4
7,Agent-E,p2,0.0,5.6,0.0,94.4
8,Agent-E,sa,0.0,0.0,33.3,66.7
9,Agent-E,tos,0.0,5.6,77.8,16.7
10,Agent-E,w,0.0,0.0,0.0,100.0
11,BrowserUse,am,0.0,0.0,11.1,88.9
12,BrowserUse,bs,0.0,0.0,22.2,77.8
13,BrowserUse,cf,18.5,29.6,29.6,22.2
14,BrowserUse,cs,61.1,38.9,0.0,0.0
15,BrowserUse,ds,0.0,11.1,11.1,77.8
16,BrowserUse,du,11.1,55.6,0.0,33.3
17,BrowserUse,p1,61.1,38.9,0.0,0.0
18,BrowserUse,p2,61.1,38.9,0.0,0.0
19,BrowserUse,sa,0.0,0.0,22.2,77.8
20,BrowserUse,tos,44.4,11.1,16.7,27.8
21,BrowserUse,w,61.1,33.3,0.0,5.6
22,DoBrowser,am,0.0,0.0,44.4,55.6
23,DoBrowser,bs,0.0,0.0,0.0,100.0
24,DoBrowser,cf,0.0,33.3,11.1,55.6
25,DoBrowser,cs,16.7,83.3,0.0,0.0
26,DoBrowser,ds,0.0,0.0,44.4,55.6
27,DoBrowser,du,0.0,0.0,44.4,55.6
28,DoBrowser,p1,16.7,33.3,11.1,38.9
29,DoBrowser,p2,27.8,22.2,0.0,50.0
30,DoBrowser,sa,0.0,0.0,0.0,100.0
31,DoBrowser,tos,16.7,5.6,0.0,77.8
32,DoBrowser,w,27.8,5.6,0.0,66.7
33,Skyvern,am,0.0,0.0,55.6,44.4
34,Skyvern,bs,11.1,0.0,0.0,88.9
35,Skyvern,cf,7.4,29.6,33.3,29.6
36,Skyvern,cs,55.6,44.4,0.0,0.0
37,Skyvern,ds,0.0,0.0,55.6,44.4
38,Skyvern,du,22.2,11.1,33.3,33.3
39,Skyvern,p1,77.8,22.2,0.0,0.0
40,Skyvern,p2,77.8,22.2,0.0,0.0
41,Skyvern,sa,0.0,0.0,11.1,88.9
42,Skyvern,tos,55.6,44.4,0.0,0.0
43,Skyvern,w,77.8,22.2,0.0,0.0
44,VisualWebArena,am,0.0,0.0,0.0,100.0
45,VisualWebArena,bs,0.0,0.0,0.0,100.0
46,VisualWebArena,cf,0.0,33.3,29.6,37.0
47,VisualWebArena,cs,44.4,55.6,0.0,0.0
48,VisualWebArena,ds,0.0,0.0,0.0,100.0
49,VisualWebArena,du,0.0,0.0,0.0,100.0
50,VisualWebArena,p1,0.0,16.7,0.0,83.3
51,VisualWebArena,p2,0.0,16.7,0.0,83.3
52,VisualWebArena,sa,0.0,0.0,0.0,100.0
53,VisualWebArena,tos,44.4,38.9,0.0,16.7
54,VisualWebArena,w,0.0,0.0,0.0,100.0
55,WebArena,am,0.0,0.0,44.4,55.6
56,WebArena,bs,0.0,0.0,11.1,88.9
57,WebArena,cf,3.7,29.6,11.1,55.6
58,WebArena,cs,16.7,83.3,0.0,0.0
59,WebArena,ds,0.0,0.0,44.4,55.6
60,WebArena,du,0.0,0.0,44.4,55.6
61,WebArena,p1,0.0,0.0,11.1,88.9
62,WebArena,p2,11.1,83.3,0.0,5.6
63,WebArena,sa,0.0,0.0,11.1,88.9
64,WebArena,tos,16.7,50.0,0.0,33.3
65,WebArena,w,11.1,5.6,0.0,83.3
