,agent,site_name,DC,EC,DF,EF
0,Agent-E,health,-1.9000000000000021,3.799999999999997,3.700000000000001,-5.5
1,Agent-E,news,-11.1,-11.099999999999998,18.5,3.700000000000003
2,Agent-E,shop,0.0,0.0,1.8000000000000003,-1.7999999999999972
3,Agent-E,spotify,0.0,-16.7,0.0,16.699999999999996
4,BrowserUse,health,-9.299999999999997,-1.8000000000000007,0.0,11.099999999999998
5,BrowserUse,news,7.4,0.0,-7.399999999999999,0.0
6,BrowserUse,shop,-1.8999999999999986,0.0,3.700000000000003,-1.8000000000000003
7,BrowserUse,spotify,-35.199999999999996,7.4,5.5,22.300000000000004
8,DoBrowser,health,-22.199999999999996,3.6999999999999997,3.700000000000003,14.800000000000004
9,DoBrowser,news,0.0,-11.1,0.0,11.100000000000001
10,DoBrowser,shop,-25.9,-1.8999999999999995,3.6999999999999993,24.099999999999998
11,DoBrowser,spotify,0.0,11.100000000000001,0.0,-11.100000000000001
12,Skyvern,health,1.8999999999999986,-7.400000000000002,0.0,5.5
13,Skyvern,news,-11.1,-7.3999999999999995,7.400000000000002,11.199999999999996
14,Skyvern,shop,3.700000000000003,0.0,-3.6999999999999993,0.0
15,Skyvern,spotify,-9.299999999999999,14.800000000000004,-29.599999999999998,24.000000000000004
16,VisualWebArena,health,3.700000000000003,-7.399999999999999,0.0,3.700000000000003
17,VisualWebArena,news,0.0,-33.3,0.0,33.400000000000006
18,VisualWebArena,shop,0.0,0.0,-24.1,24.10000000000001
19,VisualWebArena,spotify,0.0,-11.1,0.0,11.099999999999994
20,WebArena,health,0.0,-9.200000000000001,12.899999999999999,-3.700000000000003
21,WebArena,news,0.0,-18.5,0.0,18.599999999999994
22,WebArena,shop,3.7,1.8000000000000003,27.700000000000003,-33.3
23,WebArena,spotify,0.0,-11.200000000000003,0.0,11.200000000000003
