,agent,dp,DC,EC,DF,EF
0,Agent-E,am,,,,
1,Agent-E,bs,0.0,0.0,22.2,-22.300000000000004
2,Agent-E,cf,-11.1,7.5,11.1,-7.399999999999999
3,Agent-E,cs,-5.5,0.0,5.5,0.0
4,Agent-E,ds,0.0,-11.099999999999998,0.0,11.099999999999994
5,Agent-E,du,0.0,-22.2,0.0,22.199999999999996
6,Agent-E,p1,0.0,0.0,5.6,-5.599999999999994
7,Agent-E,p2,0.0,0.0,5.6,-5.599999999999994
8,Agent-E,sa,0.0,-33.400000000000006,0.0,33.400000000000006
9,Agent-E,tos,0.0,0.0,5.6,-5.5
10,Agent-E,w,0.0,0.0,-5.6,5.599999999999994
11,BrowserUse,am,,,,
12,BrowserUse,bs,0.0,11.1,0.0,-11.100000000000009
13,BrowserUse,cf,14.8,-14.799999999999997,-3.6999999999999957,3.6999999999999993
14,BrowserUse,cs,-11.100000000000001,0.0,11.099999999999998,0.0
15,BrowserUse,ds,-11.1,11.1,11.1,-11.100000000000009
16,BrowserUse,du,-55.6,0.0,22.300000000000004,33.3
17,BrowserUse,p1,-5.600000000000001,0.0,5.600000000000001,0.0
18,BrowserUse,p2,5.5,0.0,-5.5,0.0
19,BrowserUse,sa,0.0,-11.099999999999998,0.0,11.099999999999994
20,BrowserUse,tos,-27.800000000000004,16.7,-16.700000000000003,27.8
21,BrowserUse,w,-5.600000000000001,0.0,11.099999999999998,-5.5
22,DoBrowser,am,,,,
23,DoBrowser,bs,0.0,0.0,0.0,0.0
24,DoBrowser,cf,0.0,7.3999999999999995,0.0,-7.399999999999999
25,DoBrowser,cs,-33.3,0.0,33.3,0.0
26,DoBrowser,ds,0.0,22.2,0.0,-22.199999999999996
27,DoBrowser,du,0.0,0.0,0.0,0.0
28,DoBrowser,p1,0.0,-5.6,11.099999999999998,-5.5
29,DoBrowser,p2,-38.900000000000006,0.0,0.0,38.9
30,DoBrowser,sa,0.0,-33.3,0.0,33.3
31,DoBrowser,tos,-33.3,0.0,-22.200000000000003,55.599999999999994
32,DoBrowser,w,-38.900000000000006,0.0,0.0,38.900000000000006
33,Skyvern,am,,,,
34,Skyvern,bs,-11.1,0.0,0.0,11.100000000000009
35,Skyvern,cf,-3.6999999999999993,-14.800000000000004,7.400000000000002,11.100000000000001
36,Skyvern,cs,11.200000000000003,0.0,-11.200000000000003,0.0
37,Skyvern,ds,0.0,-11.100000000000001,0.0,11.100000000000001
38,Skyvern,du,-11.099999999999998,33.3,-55.6,33.3
39,Skyvern,p1,11.099999999999994,0.0,-11.099999999999998,0.0
40,Skyvern,p2,0.0,0.0,0.0,0.0
41,Skyvern,sa,0.0,-22.199999999999996,0.0,22.200000000000003
42,Skyvern,tos,-11.100000000000001,0.0,11.100000000000001,0.0
43,Skyvern,w,0.0,0.0,0.0,0.0
44,VisualWebArena,am,,,,
45,VisualWebArena,bs,0.0,-33.3,0.0,33.3
46,VisualWebArena,cf,0.0,-3.6999999999999957,0.0,3.700000000000003
47,VisualWebArena,cs,0.0,0.0,0.0,0.0
48,VisualWebArena,ds,0.0,-11.1,0.0,11.099999999999994
49,VisualWebArena,du,0.0,-11.1,0.0,11.099999999999994
50,VisualWebArena,p1,0.0,0.0,-22.2,22.199999999999996
51,VisualWebArena,p2,0.0,0.0,-50.0,50.0
52,VisualWebArena,sa,0.0,-66.7,0.0,66.7
53,VisualWebArena,tos,11.100000000000001,-16.7,0.0,5.6
54,VisualWebArena,w,0.0,0.0,0.0,0.0
55,WebArena,am,,,,
56,WebArena,bs,0.0,-22.199999999999996,0.0,22.200000000000003
57,WebArena,cf,0.0,-14.799999999999999,0.0,14.899999999999999
58,WebArena,cs,0.0,0.0,0.0,0.0
59,WebArena,ds,0.0,-11.200000000000003,0.0,11.200000000000003
60,WebArena,du,0.0,-11.200000000000003,0.0,11.200000000000003
61,WebArena,p1,0.0,5.5,0.0,-5.5
62,WebArena,p2,11.1,0.0,83.3,-94.4
63,WebArena,sa,0.0,-33.3,0.0,33.300000000000004
64,WebArena,tos,0.0,-5.6,38.9,-33.400000000000006
65,WebArena,w,0.0,0.0,0.0,0.0
